Affiliation,PrefClassYear,Degrees,StateOrProvince,Country
Alumni,2009.0,"BSc Geop Eng '09, BSc Math & Comp Sci '09",CO,
Alumni,2017.0,BSc Geop Eng '17,CO,
Alumni,2010.0,BSc Geop Eng '10,TX,
Alumni,2016.0,BSc Geop Eng '16,CO,
Alumni,2012.0,"BSc Geop Eng '12, MSc Geop '14",CO,
Alumni,1972.0,"BSc ME Phy '72, MSc Geop '05",CO,
Alumni,1967.0,Geop Engineer '67,WA,
Alumni,2013.0,MSc Geop '13,LA,
Alumni,2014.0,MSc Geop '14,OR,
Alumni,2016.0,BSc Geop Eng '16,CO,
Alumni,2009.0,BSc Geop Eng '09,CO,
Alumni,1981.0,"BSc Geop Eng '81, M Eng Geol E '93",CO,
Alumni,2020.0,"BSc Geop Eng '20, MSc Geop '21",AZ,
Alumni,2017.0,MSc Geop '17,,Colombia
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,1981.0,"MSc Geop '81, PhD Geop '87",,Australia
Alumni,2016.0,BSc Geop Eng '16,OH,
Alumni,2017.0,BSc Geop Eng '17,CO,
Alumni,1986.0,BSc Geop Eng '86,AA,
Alumni,1993.0,MSc Geop '93,TX,
Alumni,2016.0,"BSc Geop Eng '16, MSc Geop '19",TX,
Alumni,1976.0,BSc Geop Eng '76,TX,
Alumni,2006.0,PhD Interdisciplinary Geop E '06,CO,
Alumni,2017.0,"BSc Geop Eng '17, MSc Geop '19",AZ,
Alumni,1977.0,MSc Geop '77,CO,
Alumni,1971.0,BSc Geop Eng '71,CO,
Alumni,1986.0,"BSc Geop Eng '86, BSc ME Math '87, MSc Math & Comp Sci '92, PhD Math & Comp Sci '07",AL,
Alumni,1957.0,Geop Engineer '57,CO,
Alumni,1990.0,Geop Engineering '90,MD,
Alumni,1964.0,Geop Engineer '64,AZ,
Alumni,1990.0,BSc Geop Eng '90,CO,
Alumni,1984.0,BSc Geop Eng '84,WA,
Alumni,1974.0,"BSc Geop Eng '74, MSc Geop '76",CO,
Alumni,1982.0,BSc Geop Eng '82,NC,
Alumni,2017.0,BSc Geop Eng '17,CO,
Alumni,2017.0,BSc Geop Eng '17,CO,
Alumni,1971.0,MSc Geop '71,TX,
Alumni,1978.0,BSc Geop Eng '78,CO,
Alumni,1988.0,BSc Geop Eng '88,CO,
Alumni,2009.0,"BSc Geop Eng '09, BSc Math & Comp Sci '09, MSc Math & Comp Sci '11",TX,
Alumni,1988.0,MSc Geop '88,CO,
Alumni,2013.0,"BSc Geop Eng '13, MSc Geop '19",CO,
Alumni,1985.0,BSc Geop Eng '85,CO,
Alumni,1984.0,BSc Geop Eng '84,CO,
Alumni,1983.0,"MSc Geop '83, PhD Geop '86",CO,
Alumni,1984.0,BSc Geop Eng '84,CO,
Alumni,1974.0,BSc Geop Eng '74,CO,
Alumni,1970.0,Geop Engineer '70,NM,
Alumni,2020.0,MSc Geop '20,,Brazil
Alumni,1993.0,BSc Geop Eng '93,CO,
Alumni,1986.0,MSc Geop '86,OR,
Alumni,1988.0,Geop Engineer '88,WA,
Alumni,2020.0,MSc Geop '20,TX,
Alumni,1974.0,PhD Geop '74,MI,
Alumni,1997.0,BSc Geop Eng '97,NY,
Alumni,1975.0,MSc Geop '75,CO,
Alumni,1964.0,Geop Engineer '64,CO,
Alumni,2018.0,MSc Geop '18,CO,
Alumni,1974.0,"BSc Geol Eng '74, MSc Geop '79",TX,
Alumni,2019.0,BSc Geop Eng '19,TX,
Alumni,2013.0,MSc Geop '13,FL,
Alumni,2005.0,"BSc Geop Eng '05, PhD Geop '10",British Columbia,Canada
Alumni,1997.0,BSc Geop Eng '97,CO,
Alumni,1974.0,PhD Geop '74,CO,
Alumni,1968.0,Geop Engineer '68,TX,
Alumni,1986.0,BSc Geop Eng '86,CO,
Alumni,1963.0,Geop Engineer '63,OR,
Alumni,1984.0,BSc Geop Eng '84,CO,
Alumni,1983.0,"BSc Geol Eng '83, BSc Geop Eng '83",TX,
Alumni,1988.0,BSc Geop Eng '88,CO,
Alumni,2002.0,BSc Geop Eng '02,AK,
Alumni,1986.0,"BSc Geop Eng '86, MSc Ecol Eng '89",CO,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,1980.0,BSc Geop Eng '80,MO,
Alumni,1985.0,BSc Geop Eng '85,CO,
Alumni,1998.0,PhD Geop '98,TX,
Alumni,2010.0,BSc Geop Eng '10,British Columbia,Canada
Alumni,2005.0,PhD Geop '05,,India
Alumni,1975.0,"BSc Geop Eng '75, PhD Geop '88",MD,
Alumni,1996.0,MSc Geop Eng '96,CO,
Alumni,2016.0,BSc Geop Eng '16,CO,
Alumni,2013.0,"BSc Geop Eng '13, MSc Geop '15",TX,
Alumni,1957.0,Geop Engineer '57,TX,
Alumni,2003.0,BSc Geop Eng '03,GA,
Alumni,1952.0,PhD Geop Eng '52,,Turkey
Alumni,2004.0,"BSc Geop Eng '04, MSc Hydrology '07",CO,
Alumni,1986.0,BSc Geop Eng '86,NV,
Alumni,2020.0,BSc Geop Eng '20,CA,
Alumni,1981.0,BSc Geop Eng '81,TX,
Alumni,1983.0,BSc Geop Eng '83,TX,
Alumni,1983.0,BSc Geop Eng '83,CO,
Alumni,2016.0,"BSc Geop Eng '16, MSc Hydrology '18",IL,
Alumni,1975.0,BSc Geop Eng '75,SC,
Alumni,1975.0,PhD Geop '75,ID,
Alumni,1990.0,MSc Geop Eng '90,TX,
